
            boundary,counties
feature,"San Francisco County, California"
center,"-122.718, 37.7782"
scenario,Medium (RCP 4.5)
climate variable,Maximum Temperature
climate indicator,[object Object]
units,degree days 
            
 

            year,Observed,CanESM2 (Average)
1950,12,
1951,5,
1952,5,
1953,2,
1954,9,
1955,4,
1956,6,
1957,14,
1958,3,
1959,11,
1960,10,
1961,9,
1962,2,
1963,0,
1964,1,
1965,2,
1966,5,
1967,1,
1968,7,
1969,0,
1970,7,
1971,4,
1972,7,
1973,13,
1974,3,
1975,3,
1976,23,
1977,10,
1978,2,
1979,8,
1980,5,
1981,18,
1982,3,
1983,26,
1984,12,
1985,20,
1986,3,
1987,11,
1988,10,
1989,9,
1990,17,
1991,8,
1992,17,
1993,58,
1994,7,
1995,21,
1996,10,
1997,9,
1998,5,
1999,4,
2000,7,
2001,5,
2002,8,
2003,16,
2004,5,
2005,2,
2006,11,16
2007,,3
2008,,5
2009,,5
2010,,12
2011,,13
2012,,13
2013,,9
2014,,10
2015,,17
2016,,7
2017,,5
2018,,27
2019,,2
2020,,32
2021,,16
2022,,12
2023,,10
2024,,35
2025,,25
2026,,11
2027,,6
2028,,16
2029,,12
2030,,45
2031,,20
2032,,12
2033,,14
2034,,29
2035,,20
2036,,38
2037,,26
2038,,22
2039,,19
2040,,27
2041,,42
2042,,34
2043,,45
2044,,18
2045,,14
2046,,52
2047,,12
2048,,52
2049,,23
2050,,66
2051,,19
2052,,16
2053,,33
2054,,29
2055,,38
2056,,47
2057,,27
2058,,54
2059,,42
2060,,44
2061,,84
2062,,23
2063,,27
2064,,33
2065,,22
2066,,58
2067,,31
2068,,34
2069,,22
2070,,31
2071,,59
2072,,28
2073,,30
2074,,99
2075,,48
2076,,57
2077,,65
2078,,53
2079,,58
2080,,32
2081,,43
2082,,32
2083,,33
2084,,42
2085,,31
2086,,79
2087,,29
2088,,38
2089,,27
2090,,32
2091,,62
2092,,44
2093,,40
2094,,20
2095,,17
2096,,21
2097,,20
2098,,33
2099,,23
2100,,35
          
