
            boundary,counties
feature,"San Francisco County, California"
center,"-122.718, 37.7782"
scenario,Medium (RCP 4.5)
climate variable,Maximum Temperature
climate indicator,[object Object]
units,degree days 
            
 

            year,Observed,CanESM2 (Average)
1950,102,
1951,124,
1952,134,
1953,164,
1954,163,
1955,208,
1956,156,
1957,107,
1958,74,
1959,127,
1960,149,
1961,124,
1962,189,
1963,156,
1964,166,
1965,197,
1966,168,
1967,177,
1968,152,
1969,171,
1970,216,
1971,168,
1972,143,
1973,171,
1974,148,
1975,183,
1976,123,
1977,150,
1978,146,
1979,128,
1980,152,
1981,130,
1982,157,
1983,62,
1984,108,
1985,72,
1986,113,
1987,82,
1988,94,
1989,112,
1990,73,
1991,146,
1992,61,
1993,55,
1994,142,
1995,102,
1996,125,
1997,85,
1998,141,
1999,179,
2000,162,
2001,130,
2002,162,
2003,121,
2004,117,
2005,138,
2006,122,110
2007,,99
2008,,107
2009,,105
2010,,96
2011,,106
2012,,116
2013,,91
2014,,79
2015,,80
2016,,100
2017,,106
2018,,80
2019,,103
2020,,81
2021,,91
2022,,87
2023,,80
2024,,82
2025,,83
2026,,87
2027,,104
2028,,57
2029,,72
2030,,34
2031,,75
2032,,55
2033,,66
2034,,63
2035,,61
2036,,40
2037,,24
2038,,67
2039,,66
2040,,52
2041,,42
2042,,34
2043,,50
2044,,53
2045,,74
2046,,32
2047,,69
2048,,26
2049,,41
2050,,53
2051,,42
2052,,61
2053,,36
2054,,38
2055,,23
2056,,32
2057,,52
2058,,39
2059,,24
2060,,30
2061,,27
2062,,49
2063,,36
2064,,35
2065,,50
2066,,34
2067,,24
2068,,37
2069,,45
2070,,27
2071,,26
2072,,47
2073,,36
2074,,16
2075,,24
2076,,27
2077,,28
2078,,37
2079,,24
2080,,32
2081,,22
2082,,37
2083,,39
2084,,20
2085,,27
2086,,25
2087,,31
2088,,28
2089,,34
2090,,40
2091,,24
2092,,30
2093,,27
2094,,38
2095,,44
2096,,39
2097,,41
2098,,33
2099,,37
2100,,29
          
